,Franchise,City,Date,Product,Sales,Target Sales,Profit,Target Profit
0,109,Indore,1/1/2018,Cappuccino,? 21.80,? 24.00,? 4.00,? 6.00
1,109,Indore,2/1/2018,Cappuccino,? 13.60,? 12.00,? -1.20,? 0.00
2,109,Indore,3/1/2018,Cappuccino,? 26.60,? 32.00,? -2.20,? 2.00
3,109,Indore,4/1/2018,Cappuccino,? 8.40,? 8.00,? 2.40,? 4.00
4,109,Indore,5/1/2018,Cappuccino,? 18.80,? 14.00,? 3.60,? 2.00
5,109,Indore,6/1/2018,Cappuccino,? 13.00,? 12.00,? -1.80,? 0.40
6,109,Indore,7/1/2018,Cappuccino,? 24.60,? 28.00,? -13.00,
7,109,Indore,8/1/2018,Cappuccino,? 25.00,? 22.00,? 5.40,? 8.00
8,109,Indore,9/1/2018,Cappuccino,? 24.20,? 22.00,? 6.60,? 8.00
9,109,Indore,10/1/2018,Cappuccino,? 21.80,? 18.00,? -1.40,? 6.00
10,109,Indore,11/1/2018,Cappuccino,? 25.40,? 28.00,? 7.80,? 10.00
11,109,Indore,12/1/2018,Cappuccino,? 25.20,? 18.00,? -1.40,? 2.00
12,109,Indore,1/1/2019,Cappuccino,? 20.20,? 16.00,? -3.20,? 0.00
13,109,Indore,2/1/2019,Cappuccino,? 13.00,? 10.00,? -1.60,? 0.00
14,109,Indore,3/1/2019,Cappuccino,? 34.20,? 38.00,? 4.80,? 8.00
15,109,Indore,4/1/2019,Cappuccino,? 12.00,? 12.00,? 4.60,? 6.00
16,109,Indore,5/1/2019,Cappuccino,? 14.80,? 10.00,? -0.80,? 0.00
17,109,Indore,6/1/2019,Cappuccino,? 23.20,? 24.00,? 6.00,? 6.00
18,109,Indore,7/1/2019,Cappuccino,? 12.40,? 12.00,? 5.20,? 6.00
19,109,Indore,8/1/2019,Cappuccino,? 23.00,? 28.00,? -8.80,
20,109,Indore,9/1/2019,Cappuccino,? 10.20,? 8.00,? 3.80,? 4.00
21,109,Indore,10/1/2019,Cappuccino,? 22.60,? 20.00,? -2.40,? 2.00
22,109,Indore,11/1/2019,Cappuccino,? 17.60,? 14.00,? 0.20,? 2.00
23,109,Indore,12/1/2019,Cappuccino,? 8.40,? 6.00,? 2.60,? 2.00
24,109,Indore,1/1/2018,Caffe Latte,? 50.40,? 42.00,? -5.85,? 25.80
25,109,Indore,2/1/2018,Caffe Latte,? 45.50,? 35.00,? -5.20,? 0.00
26,109,Indore,3/1/2018,Caffe Latte,? 65.10,? 56.00,? 13.00,? 18.00
27,109,Indore,4/1/2018,Caffe Latte,? 30.10,? 28.00,? 20.80,? 18.00
28,109,Indore,5/1/2018,Caffe Latte,? 33.60,? 28.00,? 9.75,? 12.00
29,109,Indore,6/1/2018,Caffe Latte,? 84.00,? 77.00,? 16.25,? 24.00
30,109,Indore,7/1/2018,Caffe Latte,? 86.80,? 84.00,? -3.90,? 12.00
31,109,Indore,8/1/2018,Caffe Latte,? 112.00,? 140.00,? 28.60,? 42.00
32,109,Indore,9/1/2018,Caffe Latte,? 84.70,? 98.00,? 23.40,? 30.00
33,109,Indore,10/1/2018,Caffe Latte,? 85.40,? 98.00,? -5.20,? 6.00
34,109,Indore,11/1/2018,Caffe Latte,? 74.20,? 70.00,? -4.55,? 6.00
35,109,Indore,12/1/2018,Caffe Latte,? 98.70,? 84.00,? -0.65,? 0.00
36,109,Indore,1/1/2019,Caffe Latte,? 74.20,? 56.00,? -4.55,? 0.00
37,109,Indore,2/1/2019,Caffe Latte,? 33.60,? 28.00,? -15.60,? 6.00
38,109,Indore,3/1/2019,Caffe Latte,? 52.50,? 42.00,? -3.90,? 6.00
39,109,Indore,4/1/2019,Caffe Latte,? 53.20,? 49.00,? -1.95,? 2.40
40,109,Indore,5/1/2019,Caffe Latte,? 35.70,? 35.00,? 11.70,? 12.00
41,109,Indore,6/1/2019,Caffe Latte,? 30.10,? 28.00,? 20.15,? 18.00
42,109,Indore,7/1/2019,Caffe Latte,? 109.20,? 133.00,? 27.95,? 48.00
43,109,Indore,8/1/2019,Caffe Latte,? 93.10,? 105.00,? 26.00,? 30.00
44,109,Indore,9/1/2019,Caffe Latte,? 55.30,? 35.00,? -3.90,? 0.00
45,109,Indore,10/1/2019,Caffe Latte,? 59.50,? 42.00,? 0.65,? 6.00
46,109,Indore,11/1/2019,Caffe Latte,? 81.20,? 63.00,? -6.50,? 18.00
47,109,Indore,12/1/2019,Caffe Latte,? 82.60,? 63.00,? -3.25,? 6.00
48,109,Indore,1/1/2018,Regular Espresso,? 46.80,? 42.00,? -1.65,? 3.60
49,109,Indore,2/1/2018,Regular Espresso,? 72.00,? 66.00,? 18.15,? 30.00
50,109,Indore,3/1/2018,Regular Espresso,? 96.00,? 90.00,? 23.65,? 36.00
51,109,Indore,4/1/2018,Regular Espresso,? 58.20,? 42.00,? 10.45,? 6.00
52,109,Indore,5/1/2018,Regular Espresso,? 68.40,? 54.00,? -5.50,? 6.00
53,109,Indore,6/1/2018,Regular Espresso,? 37.80,? 36.00,? 2.75,? 12.00
54,109,Indore,7/1/2018,Regular Espresso,? 45.60,? 36.00,? -2.20,? 6.00
55,109,Indore,8/1/2018,Regular Espresso,? 57.60,? 48.00,? 7.70,? 12.00
56,109,Indore,9/1/2018,Regular Espresso,? 72.60,? 96.00,? 18.70,? 48.00
57,109,Indore,10/1/2018,Regular Espresso,? 60.60,? 54.00,? 13.75,? 24.00
58,109,Indore,11/1/2018,Regular Espresso,? 49.20,? 36.00,? 0.00,? 6.00
59,109,Indore,12/1/2018,Regular Espresso,? 27.60,? 24.00,? 25.85,? 18.00
60,109,Indore,1/1/2019,Regular Espresso,? 39.00,? 36.00,? -4.40,? 0.00
61,109,Indore,2/1/2019,Regular Espresso,? 75.00,? 66.00,? 19.25,? 24.00
62,109,Indore,3/1/2019,Regular Espresso,? 28.80,? 24.00,? 8.80,? 12.00
63,109,Indore,4/1/2019,Regular Espresso,? 46.20,? 42.00,? -2.20,? 6.00
64,109,Indore,5/1/2019,Regular Espresso,? 44.40,? 36.00,? 5.50,? 12.00
65,109,Indore,6/1/2019,Regular Espresso,? 62.40,? 48.00,? 17.05,? 18.00
66,109,Indore,7/1/2019,Regular Espresso,? 90.00,? 84.00,? 36.30,? 42.00
67,109,Indore,8/1/2019,Regular Espresso,? 61.80,? 60.00,? -5.50,? 6.00
68,109,Indore,9/1/2019,Regular Espresso,? 34.80,? 30.00,? 9.90,? 12.00
69,109,Indore,10/1/2019,Regular Espresso,? 41.40,? 30.00,? -7.15,? 0.00
70,109,Indore,11/1/2019,Regular Espresso,? 53.40,? 48.00,? 11.55,? 12.00
71,109,Indore,12/1/2019,Regular Espresso,? 40.80,? 30.00,? -3.85,? 0.00
72,109,Indore,1/1/2018,Darjeeling,? 40.00,? 32.00,? 13.50,? 14.00
73,109,Indore,2/1/2018,Darjeeling,? 97.60,? 112.00,? 20.25,? 35.00
74,109,Indore,3/1/2018,Darjeeling,? 34.40,? 32.00,? 24.00,? 21.00
75,109,Indore,4/1/2018,Darjeeling,? 55.20,? 48.00,? -9.75,? 7.00
76,109,Indore,5/1/2018,Darjeeling,? 36.00,? 32.00,? 8.25,? 14.00
77,109,Indore,6/1/2018,Darjeeling,? 85.60,? 72.00,? -4.50,? 7.00
78,109,Indore,7/1/2018,Darjeeling,? 43.20,? 32.00,? -9.00,? 0.00
79,109,Indore,8/1/2018,Darjeeling,? 127.20,? 160.00,? 45.75,? 49.00
80,109,Indore,9/1/2018,Darjeeling,? 104.00,? 80.00,? 31.50,? 21.00
81,109,Indore,10/1/2018,Darjeeling,? 72.80,? 56.00,? 1.50,? 7.00
82,109,Indore,11/1/2018,Darjeeling,? 40.00,? 32.00,? 12.00,? 14.00
83,109,Indore,12/1/2018,Darjeeling,? 34.40,? 32.00,? 24.00,? 21.00
84,109,Indore,1/1/2019,Darjeeling,? 87.20,? 96.00,? -34.50,
85,109,Indore,2/1/2019,Darjeeling,? 36.80,? 32.00,? 35.25,? 28.00
86,109,Indore,3/1/2019,Darjeeling,? 127.20,? 120.00,? 45.75,? 42.00
87,109,Indore,4/1/2019,Darjeeling,? 90.40,? 80.00,? 22.50,? 28.00
88,109,Indore,5/1/2019,Darjeeling,? 53.60,? 48.00,? 5.25,? 14.00
89,109,Indore,6/1/2019,Darjeeling,? 87.20,? 120.00,? -19.50,? 7.00
90,109,Indore,7/1/2019,Darjeeling,? 35.20,? 32.00,? 11.25,? 14.00
91,109,Indore,8/1/2019,Darjeeling,? 77.60,? 56.00,? 2.25,? 7.00
92,109,Indore,9/1/2019,Darjeeling,? 44.00,? 32.00,? 15.75,? 21.00
93,109,Indore,10/1/2019,Darjeeling,? 54.40,? 40.00,? 5.25,? 7.00
94,109,Indore,11/1/2019,Darjeeling,? 102.40,? 88.00,? 36.75,? 35.00
95,109,Indore,12/1/2019,Darjeeling,? 108.00,? 88.00,? 41.25,? 35.00
96,109,Indore,1/1/2018,Decaf Irish Cream,? 72.00,? 63.00,? -4.80,? 56.95
97,109,Indore,2/1/2018,Decaf Irish Cream,? 135.90,? 108.00,? 1.60,? 0.00
98,109,Indore,3/1/2018,Decaf Irish Cream,? 85.50,? 54.00,? 14.40,? 0.00
99,109,Indore,4/1/2018,Decaf Irish Cream,? 101.70,? 117.00,? -39.20,
100,109,Indore,5/1/2018,Decaf Irish Cream,? 72.90,? 54.00,? -0.80,? 8.50
101,109,Indore,6/1/2018,Decaf Irish Cream,? 121.50,? 153.00,? -16.80,? 8.50
102,109,Indore,7/1/2018,Decaf Irish Cream,? 58.50,? 54.00,? -7.20,? 5.95
103,109,Indore,8/1/2018,Decaf Irish Cream,? 64.80,? 45.00,? -8.00,? 0.00
104,109,Indore,9/1/2018,Decaf Irish Cream,? 104.40,? 54.00,? -7.20,? 8.50
105,109,Indore,10/1/2018,Decaf Irish Cream,? 108.90,? 81.00,? 28.80,? 42.50
106,109,Indore,11/1/2018,Decaf Irish Cream,? 67.50,? 63.00,? 8.00,? 17.00
107,109,Indore,12/1/2018,Decaf Irish Cream,? 106.20,? 99.00,? -3.20,? 8.50
108,109,Indore,1/1/2019,Decaf Irish Cream,? 54.00,? 36.00,? -14.40,? 8.50
109,109,Indore,2/1/2019,Decaf Irish Cream,? 56.70,? 54.00,? 15.20,? 25.50
110,109,Indore,3/1/2019,Decaf Irish Cream,? 122.40,? 153.00,? -12.00,? 8.50
111,109,Indore,4/1/2019,Decaf Irish Cream,? 94.50,? 81.00,? 14.40,? 25.50
112,109,Indore,5/1/2019,Decaf Irish Cream,? 72.90,? 54.00,? 0.00,? 8.50
113,109,Indore,6/1/2019,Decaf Irish Cream,? 112.50,? 108.00,? -3.20,? 17.00
114,109,Indore,7/1/2019,Decaf Irish Cream,? 135.90,? 126.00,? 39.20,? 59.50
115,109,Indore,8/1/2019,Decaf Irish Cream,? 73.80,? 63.00,? 6.40,? 8.50
116,109,Indore,9/1/2019,Decaf Irish Cream,? 80.10,? 72.00,? 0.00,? 8.50
117,109,Indore,10/1/2019,Decaf Irish Cream,? 139.50,? 171.00,? 47.20,? 68.00
118,109,Indore,11/1/2019,Decaf Irish Cream,? 73.80,? 63.00,? 7.20,? 8.50
119,109,Indore,12/1/2019,Decaf Irish Cream,? 52.20,? 36.00,? -14.40,? 0.00
120,109,Indore,1/1/2018,Earl Grey,? 50.92,? 49.50,? 10.92,? 12.80
121,109,Indore,2/1/2018,Earl Grey,? 19.76,? 22.50,? 3.92,? 9.60
122,109,Indore,3/1/2018,Earl Grey,? 60.42,? 90.00,? 17.08,? 22.40
123,109,Indore,4/1/2018,Earl Grey,? 39.52,? 36.00,? -1.96,? 0.00
124,109,Indore,5/1/2018,Earl Grey,? 41.42,? 40.50,? 5.60,? 9.60
125,109,Indore,6/1/2018,Earl Grey,? 17.48,? 18.00,? 12.88,? 9.60
126,109,Indore,7/1/2018,Earl Grey,? 29.26,? 27.00,? -1.12,? 0.00
127,109,Indore,8/1/2018,Earl Grey,? 52.82,? 76.50,? 9.52,? 22.40
128,109,Indore,9/1/2018,Earl Grey,? 22.04,? 27.00,? 4.76,? 9.60
129,109,Indore,10/1/2018,Earl Grey,? 37.24,? 22.50,? 5.88,? 6.40
130,109,Indore,11/1/2018,Earl Grey,? 23.18,? 22.50,? 0.84,? 3.20
