Order ID,Customer ID,Location Id,Order Date
NI-2018-SP1065095-41640,SP-1065095,NigerKwaraIlorin,1/1/2018
IN-2018-NP1868558-41640,NP-1868558,IndiaTamilSalem,1/1/2018
IN-2018-JE1571527-41640,JE-1571527,ChinaTianjTianjin,1/1/2018
IN-2018-BO1142527-41640,BO-1142527,ChinaGansuSuzhou,1/1/2018
ID-2018-MY182957-41640,MY-182957,AustrNew SAlbury,1/1/2018
HU-2018-JR567057-41640,JR-567057,HungaBudapBudapest,1/1/2018
ES-2018-TB2159545-41640,TB-2159545,FrancAuverMontbrison,1/1/2018
ES-2018-LP17095139-41640,LP-17095139,UniteEnglaLondon,1/1/2018
ES-2018-LP1708045-41640,LP-1708045,FrancBourgDole,1/1/2018
ES-2018-JK1537045-41640,JK-1537045,FrancAquitPau,1/1/2018
ES-2018-CC12220120-41640,CC-12220120,SpainMelilMelilla,1/1/2018
CG-2018-JS603033-41640,JS-603033,DemocKinshKinshasa,1/1/2018
CA-2018-PB880523-41640,PB-880523,CanadOntarNorth York,1/1/2018
US-2018-SW2027598-41641,SW-2027598,PanamPanamPanama City,1/2/2018
TU-2018-JS5940134-41641,JS-5940134,TurkeBalikBalikesir,1/2/2018
MX-2018-TN2104082-41641,TN-2104082,MexicYucatMérida,1/2/2018
IR-2018-AG52560-41641,AG-52560,IranArdabArdabil,1/2/2018
IN-2018-TP2141558-41641,TP-2141558,IndiaDelhiDelhi,1/2/2018
IN-2018-KA1652592-41641,KA-1652592,New ZCanteChristchurch,1/2/2018
IN-2018-HD1478559-41641,HD-1478559,IndonJakarJakarta,1/2/2018
ID-2018-RL196157-41641,RL-196157,AustrNew SNewcastle,1/2/2018
ES-2018-PF1916545-41641,PF-1916545,FrancIle-dMaisons-Laffitte,1/2/2018
ES-2018-KW16435139-41641,KW-16435139,UniteEnglaDerby,1/2/2018
ES-2018-BS1175545-41641,BS-1175545,FrancIle-dLivry-Gargan,1/2/2018
ES-2018-AS10045139-41641,AS-10045139,UniteEnglaChester,1/2/2018
ES-2018-AH1069045-41641,AH-1069045,FrancProveGrasse,1/2/2018
EG-2018-KC654038-41641,KC-654038,EgyptAl BaHurghada,1/2/2018
EG-2018-CV229538-41641,CV-229538,EgyptAl QaCairo,1/2/2018
CA-2018-BM11575140-41641,BM-115751406,UniteMarylGaithersburg,1/2/2018
US-2018-CA12310140-41642,CA-123101402,UniteTexasSan Antonio,1/3/2018
MX-2018-PO1886593-41642,PO-1886593,NicarLeónLeón,1/3/2018
IT-2018-SC2057548-41642,SC-2057548,GermaHesseFrankfurt,1/3/2018
IT-2018-DD1357091-41642,DD-1357091,NetheSouthRotterdam,1/3/2018
ES-2018-ST2053048-41642,ST-2053048,GermaNorthKrefeld,1/3/2018
ES-2018-KM1637545-41642,KM-1637545,FrancAquitBergerac,1/3/2018
ES-2018-DL1349548-41642,DL-1349548,GermaSaxonHalle,1/3/2018
ES-2018-AR1082548-41642,AR-1082548,GermaNorthLeverkusen,1/3/2018
ES-2018-AF10885139-41642,AF-10885139,UniteEnglaLondon,1/3/2018
CA-2018-TC1147523-41642,TC-1147523,CanadOntarOttawa,1/3/2018
CA-2018-LR16915140-41642,LR-169151404,UniteCalifLos Angeles,1/3/2018
CA-2018-BO11350140-41642,BO-113501402,UniteOklahBroken Arrow,1/3/2018
US-2018-EB13975140-41643,EB-139751408,UniteNorthCharlotte,1/4/2018
TZ-2018-TS11370129-41643,TS-11370129,TanzaDar EDar es Salaam,1/4/2018
MX-2018-PV1898582-41643,PV-1898582,MexicDuranGómez Palacio,1/4/2018
